,Catalog No.,Product Name,Clinical Research Yes/NO,FDA Approved Yes/No,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Compound ID,Well,Rack,Barcode,CID
10,S1114,JNJ-38877605,Yes,,377.35,943540-75-8,free base,c-Met,"JNJ-38877605 is an ATP-competitive inhibitor of c-Met with IC50 of 4 nM, 600-fold selective for c-Met than 200 other tyrosine and serine-threonine kinases. Phase 1.",N1=CC=CC2=C1C=CC(=C2)C(C3N4C(=NN=3)C=CC(=N4)C5C=NN(C=5)C)(F)F,98,http://www.selleckchem.com/products/JNJ-38877605.html,Protein Tyrosine Kinase,K06348a,A9,L1200-1,0187172247,46911863
11,S1005,Axitinib,Yes,Yes,386.47,319460-85-0,free base,"c-Kit,VEGFR,PDGFR","Axitinib is a multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFRβ and c-Kit with IC50 of 0.1 nM, 0.2 nM, 0.1-0.3 nM, 1.6 nM and 1.7 nM, respectively.",C1(=CC=CC=C1C(=O)NC)SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,108,http://www.selleckchem.com/products/Axitinib.html,Protein Tyrosine Kinase,K00956d,B1,L1200-1,0187170650,6450551
12,S1138,Brivanib Alaninate (BMS-582664),Yes,,441.46,649735-63-7,alaninate,"VEGFR,FGFR","Brivanib alaninate (BMS-582664) is the prodrug of BMS-540215, an ATP-competitive inhibitor against VEGFR2 with IC50 of 25 nM.",C12=C(C(=C(C=C1)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)OC([C@@H](N)C)=O)C)F)C=C(N2)C,199,http://www.selleckchem.com/products/Brivanib-alaninate.html,Protein Tyrosine Kinase,K06350a,B10,L1200-1,0187172241,11154925
13,S1167,CP-724714,,,469.53,537705-08-1,free base,"EGFR,HER2","CP-724,714 is a potent, selective inhibitor of HER2/ErbB2 with IC50 of 10 nM, >640-fold selectivity against EGFR, InsR, IRG-1R, PDGFR, VEGFR2, Abl, Src, c-Met etc. Phase 2.",C1(=CC=C2C(=C1)C(=NC=N2)NC3=CC=C(C(=C3)C)OC4=CC=C(N=C4)C)/C=C/CNC(COC)=O,200,http://www.selleckchem.com/products/CP-724714.html,Protein Tyrosine Kinase,K06352a,B11,L1200-1,0187172242,None
14,S8057,Pacritinib (SB1518),Yes,,472.58,937272-79-2,free base,JAK,"Pacritinib (SB1518) is a potent and selective inhibitor of Janus Kinase 2 (JAK2) and Fms-Like Tyrosine Kinase-3 (FLT3) with IC50s of 23 and 22 nM, respectively.",C1=CN=C2N=C1C3=CC(=CC=C3)COC/C=C/COCC4=CC(=CC=C4OCCN5CCCC5)N2,23,http://www.selleckchem.com/products/pacritinib-sb1518.html,JAK/STAT,K06484a,B2,L1200-1,0187172233,46216796
15,S1028,Lapatinib (GW-572016) Ditosylate,Yes,Yes,925.46,388082-77-7,ditosylat,"HER2,EGFR","Lapatinib Ditosylate (GW572016, GW2016) is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM, respectively.",C1(=C(C=C2C(=C1)N=CN=C2NC3=CC=C(C(=C3)Cl)OCC4=CC=CC(=C4)F)C5OC(=CC=5)CNCCS(=O)(C)=O).C6(=C(C=CC(=C6)S(O)(=O)=O)C).C7=C(C=CC(=C7)S(O)(=O)=O)C,199,http://www.selleckchem.com/products/Lapatinib-Ditosylate.html,Protein Tyrosine Kinase,K06337a,B3,L1200-1,0187170669,9941095
16,S1040,Sorafenib Tosylate,Yes,Yes,637.03,475207-59-1,tosylate,"PDGFR,Raf,VEGFR","Sorafenib Tosylate (Bay 43-9006) is a multikinase inhibitor of Raf-1, B-Raf and VEGFR-2 with IC50 of 6 nM, 22 nM and 90 nM, respectively.",C1(=CC=C(C=C1C(F)(F)F)NC(NC2=CC=C(C=C2)OC3=CC=NC(=C3)C(NC)=O)=O)Cl.C4=CC(=CC=C4S(O)(=O)=O)C,199,http://www.selleckchem.com/products/Sorafenib-Tosylate.html,MAPK,K06341a,B4,L1200-1,0187172235,406563
17,S1056,AC480 (BMS-599626),Yes,,567.01,714971-09-2,free base,"HER2,EGFR","AC480 (BMS-599626) is a selective and efficacious inhibitor of HER1 and HER2 with IC50 of 20 nM and 30 nM, ~8-fold less potent to HER4, >100-fold to VEGFR2, c-Kit, Lck, MET etc. Phase 1.",C1(CN[C@@H](CO1)COC(NC2=CN3C(=C2C)C(=NC=N3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F)=O).Cl,199,http://www.selleckchem.com/products/BMS-599626.html,Protein Tyrosine Kinase,K06344a,B5,L1200-1,0187172236,10437018
18,S1076,SB203580,,,377.43,152121-47-6,free base,p38 MAPK,"SB203580 is a p38 MAPK inhibitor with IC50 of 0.3-0.5 μM, 10-fold less sensitive to SAPK3(106T) and SAPK4(106T) and blocks PKB phosphorylation with IC50 of 3-5 μM. ",N1=CC=C(C=C1)C2=C(N=C(N2)C3=CC=C(C=C3)S(C)=O)C4=CC=C(C=C4)F,198,http://www.selleckchem.com/products/SB-203580.html,MAPK,K00038c,B6,L1200-1,0187172237,176155
19,S1093,GSK1904529A,,,851.96,1089283-49-7,free base,IGF-1R,"GSK1904529A is a selective inhibitor of IGF-1R and IR with IC50 of 27 nM and 25 nM, >100-fold more selective for IGF-1R/InsR than Akt1/2, Aurora A/B,B-Raf, CDK2, EGFR etc.",C1=C(C(=C(C=C1)F)NC(C2=C(C=CC(=C2)C3=C(N4C(=N3)C=CC=C4)C5=CC=NC(=N5)NC6=C(C=C(C(=C6)CC)N7CCC(CC7)N8CCN(CC8)S(C)(=O)=O)OC)OC)=O)F,145,http://www.selleckchem.com/products/GSK1904529A.html,Protein Tyrosine Kinase,K04356c,B7,L1200-1,0187172238,25124816
20,S1106,OSU-03012 (AR-12),Yes,,460.45,742112-33-0,free base,PDK-1,OSU-03012 is a potent inhibitor of recombinant PDK-1 with IC50 of 5 μM and 2-fold increase in potency over OSU-02067.,C12=C(C=CC3=C1C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(CN)=O)C(F)(F)F)C=CC=C2,23,http://www.selleckchem.com/products/OSU-03012.html,PI3K/Akt/mTOR,K06346a,B8,L1200-1,0187172239,10027278
21,S1116,Palbociclib (PD-0332991) HCl,Yes,,483.99,827022-32-2,hydrochloride,CDK,"PD0332991 is a highly selective inhibitor of CDK4/6 with IC50 of 11 nM/16 nM. It shows no activity against CDK1/2/5, EGFR, FGFR, PDGFR, InsR, etc. Phase 2/3.",N1(=C(N=C2C(=C1)C(=C(C(N2C3CCCC3)=O)C(C)=O)C)NC4=NC=C(C=C4)N5CCNCC5).Cl,10,http://www.selleckchem.com/products/PD-0332991.html,Cell Cycle,K04235b,B9,L1200-1,0187172240,11431660
22,S1006,Saracatinib (AZD0530),Yes,,542.03,379231-04-6,free base,"Src,Bcr-Abl","Saracatinib (AZD0530) is a potent Src inhibitor with IC50 of 2.7 nM, and potent to c-Yes, Fyn, Lyn, Blk, Fgr and Lck; less active for Abl and EGFR (L858R and L861Q). Phase 1/2.",C1=C(C=C2C(=C1OC3CCOCC3)C(=NC=N2)NC4=C(C=CC5=C4OCO5)Cl)OCCN6CCN(CC6)C,184,http://www.selleckchem.com/products/AZD0530.html,Angiogenesis,K04284d,C1,L1200-1,0187172231,10302451
23,S1143,AG-490 (Tyrphostin B42),,,294.3,133550-30-8,free base,"JAK,EGFR","AG-490 (Tyrphostin B42) is an inhibitor of EGFR with IC50 of 0.1 μM, 135-fold more selective for EGFR versus ErbB2, also inhibits JAK2 with no activity to Lck, Lyn, Btk, Syk and Src.",C1(=C(C=CC(=C1)/C=C(/C(NCC2=CC=CC=C2)=O)C#N)O)O,200,http://www.selleckchem.com/products/AG-490.html,Protein Tyrosine Kinase,K06351a,C10,L1200-1,0187172222,5328779
24,S1169,TGX-221,,,364.44,663619-89-4,free base,PI3K,"TGX-221 is a p110β-specific inhibitor with IC50 of 5 nM, 1000-fold more selective for p110β than p110α.  ",C1=C(C=C(C2N1C(C=C(N=2)N3CCOCC3)=O)C(C)NC4=CC=CC=C4)C,32,http://www.selleckchem.com/products/TGX-221.html,PI3K/Akt/mTOR,K02697c,C11,L1200-1,0187172221,9907093
25,S1019,Canertinib (CI-1033),Yes,,485.94,267243-28-7,free base,"EGFR,HER2","Canertinib (CI-1033) is a pan-ErbB inhibitor for EGFR and ErbB2 with IC50 of 1.5 nM and 9.0 nM, no activity to PDGFR, FGFR, InsR, PKC, or CDK1/2/4. Phase 3.",C1(=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4)NC(C=C)=O,10,http://www.selleckchem.com/products/CI-1033(Canertinib).html,Protein Tyrosine Kinase,K04281b,C2,L1200-1,0187172230,156414
26,S1032,Motesanib Diphosphate (AMG-706),Yes,,569.44,857876-30-3,diphosphate,"VEGFR,PDGFR,c-Kit","Motesanib Diphosphate (AMG-706) is a potent ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 2 nM/3 nM/6 nM, respectively; similar activity against Kit, ~10-fold more selective for VEGFR than PDGFR and Ret. Phase 1/2.",C1(=CN=CC=C1CNC2=C(C=CC=N2)C(=O)NC3=CC=C4C(=C3)NCC4(C)C).P(O)(=O)(O)O.P(O)(=O)(O)O,175,http://www.selleckchem.com/products/Motesanib-Diphosphate.html,Protein Tyrosine Kinase,K06338a,C3,L1200-1,0187172229,16097729
27,S1042,Sunitinib Malate,Yes,Yes,532.56,341031-54-7,malate,"VEGFR,PDGFR,c-Kit","Sunitinib Malate is a multi-targeted RTK inhibitor targeting VEGFR2 (Flk-1) and PDGFRβ with IC50 of 80 nM and 2 nM, and also inhibits c-Kit.",C1(=CC=C2C(=C1)/C(C(N2)=O)=C/C3NC(=C(C=3C)C(NCCN(CC)CC)=O)C)F.C(C[C@@H](C(O)=O)O)(O)=O,28,http://www.selleckchem.com/products/Sunitinib-Malate-(Sutent).html,Protein Tyrosine Kinase,K06342a,C4,L1200-1,0187172228,6456015
28,S1064,Masitinib (AB1010),Yes,Yes,498.64,790299-79-5,free base,"PDGFR,c-Kit","Masitinib is a novel inhibitor for Kit and PDGFRα/β with IC50 of 200 nM and 540 nM/800 nM, weak inhibition to ABL and c-Fms. Phase 2/3.",C1(=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CC=CN=C5)C,200,http://www.selleckchem.com/products/Masitinib-(AB1010).html,Protein Tyrosine Kinase,K04286c,C5,L1200-1,0187172227,10074640
29,S1077,SB202190 (FHPI),,,331.34,152121-30-7,free base,p38 MAPK,"SB202190 (FHPI) is a potent p38 MAPK inhibitor targeting p38α/β with IC50 of 50 nM/100 nM, sometimes used instead of SB 203580 to investigate potential roles for SAPK2a/p38 in vivo.",C1=C(C=CC(=C1)C2N=C(NC=2C3=CC=NC=C3)C4=CC=C(C=C4)O)F,199,http://www.selleckchem.com/products/SB-202190.html,MAPK,K00037c,C6,L1200-1,0187172226,5169
30,S1094,PF-04217903,Yes,,372.38,956905-27-4,free base,c-Met,"PF-04217903 is a selective ATP-competitive c-Met inhibitor with IC50 of 4.8 nM, susceptible to oncogenic mutations (no activity to Y1230C mutant). Phase 1.",C12=CC=CN=C1C=CC(=C2)CN3C4=C(N=N3)N=CC(=N4)C5=CN(N=C5)CCO,13,http://www.selleckchem.com/products/PF-04217903.html,Protein Tyrosine Kinase,K06345a,C7,L1200-1,0187172225,17754438
31,S1107,Danusertib (PHA-739358),Yes,,474.55,827318-97-8,free base,"c-RET,FGFR,Bcr-Abl,Aurora Kinase","Danusertib (PHA-739358) is an Aurora kinase inhibitor for Aurora A/B/C with IC50 of 13 nM/79 nM/61 nM, modestly potent to Abl, TrkA, c-RET and FGFR1, and less potent to Lck, VEGFR2/3, c-Kit, CDK2, etc. Phase 2.",C1(=CC=CC=C1)[C@H](C(N2CC3=C(C2)C(=NN3)NC(=O)C4=CC=C(C=C4)N5CCN(CC5)C)=O)OC,200,http://www.selleckchem.com/products/PHA-739358(Danusertib).html,Cell Cycle,K04229c,C8,L1200-1,0187172224,11442891
32,S1117,Triciribine,Yes,,320.3,35943-35-2,free base,Akt,"Triciribine is a DNA synthesis inhibitor, also inhibits Akt and HIV-1 with IC50 of 130 nM and 20 nM, respectively; does not inhibit PI3K/PDK1; 5000-fold less active in cells lacking adenosine kinase. Phase 1/2.",[C@H]1([C@@H]([C@H](O[C@@H]1N2C3=C4C(=C2)C(=NN(C4=NC=N3)C)N)CO)O)O,199,http://www.selleckchem.com/products/Triciribine.html,PI3K/Akt/mTOR,K06242b,C9,L1200-1,0187172223,65399
33,S1008,Selumetinib (AZD6244),Yes,,457.68,606143-52-6,free base,MEK,"Selumetinib (AZD6244) is a potent, highly selective MEK1 inhibitor with IC50 of 14 nM, also inhibits ERK1/2 phosphorylation with IC50 of 10 nM, no inhibition to p38α, MKK6, EGFR, ErbB2, ERK2, B-Raf, etc. Phase 1/2.",C1=C2C(=C(C(=C1C(NOCCO)=O)NC3=CC=C(C=C3Cl)Br)F)N=CN2C,201,http://www.selleckchem.com/products/AZD6244.html,MAPK,K04277b,D1,L1200-1,0187172208,10127622
34,S1145,SNS-032 (BMS-387032),Yes,,380.53,345627-80-7,free base,CDK,"SNS-032 has firstly been described as a selective inhibitor of CDK2 with IC50 of 48 nM and is 10- and 20-fold selective over CDK1/CDK4. It is also found to be sensitive to CDK7/9 with IC50 of 62 nM/4 nM, with little effect on CDK6. Phase 1.",C1(=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3)C(C)(C)C,199,http://www.selleckchem.com/products/SNS-032.html,Cell Cycle,K04278c,D10,L1200-1,0187172217,3025986
35,S1170,WZ3146,,,464.95,1214265-56-1,free base,EGFR,WZ3146 is a mutant-selective irreversible inhibitor of EGFR(L858R) and EGFR(E746_A750) with IC50 of 2 nM and 2 nM; does not inhibit ERBB2 phosphorylation (T798I).,C1(=CC=C(C=C1)NC2=NC=C(C(=N2)OC3=CC(=CC=C3)NC(C=C)=O)Cl)N4CCN(CC4)C,200,http://www.selleckchem.com/products/WZ3146.html,Protein Tyrosine Kinase,K05785b,D11,L1200-1,0187172218,44607360
36,S1020,PD184352 (CI-1040),Yes,,478.67,212631-79-3,free base,MEK,"CI-1040 (PD 184352) is an ATP non-competitive MEK1/2 inhibitor with IC50 of 17 nM, 100-fold more selective for MEK1/2 than MEK5. Phase 2.",C1=C(C(=C(C(=C1)C(NOCC2CC2)=O)NC3=CC=C(C=C3Cl)I)F)F,200,http://www.selleckchem.com/products/CI-1040-(PD184352).html,MAPK,K06333a,D2,L1200-1,0187172209,6918454
37,S1033,Nilotinib (AMN-107),Yes,Yes,529.52,641571-10-0,free base,Bcr-Abl,Nilotinib (AMN-107) is a Bcr-Abl inhibitor with IC50 less than 30 nM.,C1(=CC=C(C(=C1)NC2=NC=CC(=N2)C3=CN=CC=C3)C)C(=O)NC4=CC(=CC(=C4)N5C=C(N=C5)C)C(F)(F)F,50,http://www.selleckchem.com/products/Nilotinib.html,Angiogenesis,K00933d,D3,L1200-1,0187172210,644241
38,S1043,Tandutinib (MLN518),Yes,,562.7,387867-13-2,free base,FLT3,"Tandutinib (MLN518, CT53518) is a potent FLT3 antagonist with IC50 of 0.22 μM, also inhibits PDGFR and c-Kit, 15 to 20-fold higher potency for FLT3 versus CSF-1R and >100-fold selectivity for the same target versus FGFR, EGFR and KDR. Phase 1/2.",C1=C(C(=CC2=C1N=CN=C2N3CCN(CC3)C(NC4=CC=C(C=C4)OC(C)C)=O)OC)OCCCN5CCCCC5,10,http://www.selleckchem.com/products/Tandutinib-(MLN518).html,Angiogenesis,K04302c,D4,L1200-1,0187172211,3038522
39,S1065,GDC-0941,Yes,,513.64,957054-30-7,free base,PI3K,"GDC-0941 is a potent inhibitor of PI3Kα/δ with IC50 of 3 nM, with modest selectivity against p110β (11-fold) and p110γ (25-fold).",C1(=CC=CC2=C1C=NN2)C3=NC(=C4C(=N3)C=C(S4)CN5CCN(CC5)S(=O)(=O)C)N6CCOCC6,85,http://www.selleckchem.com/products/GDC-0941.html,PI3K/Akt/mTOR,K04283c,D5,L1200-1,0187172212,17755052
40,S1078,MK-2206 2HCl,Yes,,480.39,1032350-13-2,dihydrochloride,Akt,"MK-2206 2HCl is a highly selective inhibitor of Akt1/2/3 with IC50 of 8 nM/12 nM/65 nM, respectively; no inhibitory activities against 250 other protein kinases observed. Phase 2.",C1(=CC=CC=C1)C2(=C(N=C3C(=C2)C4N(C=C3)C(NN=4)=O)C5=CC=C(C=C5)C6(CCC6)N).Cl.Cl,29,http://www.selleckchem.com/products/MK-2206.html,PI3K/Akt/mTOR,K04298c,D6,L1200-1,0187172213,46930998
41,S1100,MLN8054,Yes,,476.86,869363-13-3,free base,Aurora Kinase,MLN8054 is a potent and selective inhibitor of Aurora A with IC50 of 4 nM. It is more than 40-fold selective for Aurora A than Aurora B. Phase 1.,C1=C(C=C2C(=C1)C3=C(CN=C2C4=C(C=CC=C4F)F)C=NC(=N3)NC5=CC=C(C=C5)C(=O)O)Cl,199,http://www.selleckchem.com/products/MLN8054.html,Cell Cycle,K04234c,D7,L1200-1,0187172214,11712649
42,S1108,TAE684 (NVP-TAE684),,,614.2,761439-42-3,free base,ALK,"TAE684 is a potent and selective ALK inhibitor with IC50 of 3 nM, 100-fold more sensitive for ALK than InsR.",C1=CC(=CC(=C1NC2=NC=C(C(=N2)NC3=C(C=CC=C3)S(=O)(=O)C(C)C)Cl)OC)N4CCC(CC4)N5CCN(CC5)C,10,http://www.selleckchem.com/products/NVP-TAE684.html,Protein Tyrosine Kinase,K00937f,D8,L1200-1,0187172215,16038120
43,S1118,XL147,Yes,,448.52,956958-53-5,free base,PI3K,"XL147 is a selective and reversible class I PI3K inhibitor for PI3Kα/δ/γ with IC50 of 39 nM/36 nM/23 nM, less potent to PI3Kβ. Phase 1/2.",C1=CC=C2C(=C1)N=C(C(=N2)NS(=O)(=O)C3=CC=C(C=C3)C)NC4=CC5C(C=C4)=NSN=5,10,http://www.selleckchem.com/products/XL147.html,PI3K/Akt/mTOR,K04270b,D9,L1200-1,0187172216,1893730
44,S1009,"BEZ235 (NVP-BEZ235, Dactolisib)",Yes,,469.55,915019-65-7,free base,"PI3K,ATM/ATR,mTOR","BEZ235 (NVP-BEZ235) is a dual ATP-competitive PI3K and mTOR inhibitor for p110α/γ/δ/β and mTOR(p70S6K) with IC50 of 4 nM/5 nM/7 nM/75 nM/6 nM, respectively. Inhibits ATR with IC50 of 21 nM; shown to be poor inhibitory to Akt and PDK1. Phase 1/2.",C12=CN=C3C(=C1N(C(N2C)=O)C4=CC=C(C=C4)C(C#N)(C)C)C=C(C=C3)C5=CC6=C(N=C5)C=CC=C6,10,http://www.selleckchem.com/products/BEZ235.html,PI3K/Akt/mTOR,K04289b,E1,L1200-1,0187172207,11977753
45,S1147,Barasertib (AZD1152-HQPA),,,507.56,722544-51-6,free base,Aurora Kinase,"AZD1152-HQPA (Barasertib) is a highly selective Aurora B inhibitor with IC50 of 0.37 nM, ~100 fold more selective for Aurora B over Aurora A.",C1(=CC=C2C(=C1)N=CN=C2NC3NN=C(C=3)CC(NC4=CC=CC(=C4)F)=O)OCCCN(CCO)CC,200,http://www.selleckchem.com/products/AZD1152-HQPA.html,Cell Cycle,K04228c,E10,L1200-1,0187172198,16007391
46,S1171,CYC116,Yes,,368.46,693228-63-6,free base,"Aurora Kinase,VEGFR","CYC116 is a potent inhibitor of Aurora A/B with Ki of 8.0 nM/9.2 nM, is less potent to VEGFR2 (Ki of 44 nM), with 50-fold greater potency than CDKs, not active against PKA, Akt/PKB, PKC, no effect on GSK-3α/β, CK2, Plk1 and SAPK2A. Phase 1.",C1(=NC=CC(=N1)C2SC(=NC=2C)N)NC3=CC=C(C=C3)N4CCOCC4,65,http://www.selleckchem.com/products/CYC116.html,Cell Cycle,K06353a,E11,L1200-1,0187172197,6420138
47,S1010,Nintedanib (BIBF 1120),Yes,,539.62,656247-17-5,free base,"VEGFR,PDGFR,FGFR","Nintedanib (BIBF 1120) is a potent triple angiokinase inhibitor for VEGFR1/2/3, FGFR1/2/3 and PDGFRα/β with IC50 of 34 nM/13 nM/13 nM, 69 nM/37 nM/108 nM and 59 nM/65 nM. Phase 3.",C1=C(C=C2C(=C1)/C(C(N2)=O)=C(\C3=CC=CC=C3)NC4=CC=C(C=C4)N(C)C(CN5CCN(CC5)C)=O)C(OC)=O,11,http://www.selleckchem.com/products/BIBF1120.html,Protein Tyrosine Kinase,K04315d,E12,L1200-1,No Tube,135423438
48,S1021,Dasatinib,Yes,Yes,488.01,302962-49-8,free base,"Bcr-Abl,c-Kit,Src","Dasatinib is a novel, potent and multi-targeted inhibitor that targets Abl, Src and c-Kit, with IC50 of ＜1 nM, 0.8 nM and 79 nM, respectively.",N1=C(N=C(C=C1NC2=NC=C(S2)C(NC3=C(C=CC=C3C)Cl)=O)N4CCN(CC4)CCO)C,200,http://www.selleckchem.com/products/Dasatinib.html,Angiogenesis,K00617e,E2,L1200-1,0187172206,3062316
49,S1034,NVP-AEW541,,,439.55,475489-16-8,free base,IGF-1R,"NVP-AEW541 is a potent inhibitor of IGF-1R with IC50 of 86 nM, 27-fold greater selectivity for IGF-1R than InsR.",C1=CC(=CC(=C1)OCC2=CC=CC=C2)C3=CN(C4=C3C(=NC=N4)N)[C@@H]5C[C@@H](C5)CN6CCC6,200,http://www.selleckchem.com/products/NVP-AEW541.html,Protein Tyrosine Kinase,K04992b,E3,L1200-1,0187172205,11476171
